#PearsID, Field, RA, DEC, zspec, zp_minchi2, zspz_minchi2, zg_minchi2, zp, zspz, zg, zp_zerr_low, zp_zerr_up, zspz_zerr_low, zspz_zerr_up, zg_zerr_low, zg_zerr_up, zp_min_chi2, zspz_min_chi2, zg_min_chi2, zp_bestalpha, zspz_bestalpha, zg_bestalpha, zp_model_idx, zspz_model_idx, zg_model_idx, zp_age, zp_tau, zp_av, zspz_age, zspz_tau, zspz_av, zg_age, zg_tau, zg_av, zp_template_ms, zp_ms, zp_sfr, zp_uv, zp_vj, zspz_template_ms, zspz_ms, zspz_sfr, zspz_uv, zspz_vj, zg_template_ms, zg_ms, zg_sfr, zg_uv, zg_vj
123538, 'GOODS-N', 189.3931748, 62.34186, 0.938, 0.93, -99., -99., 0.93, -99., -99., 0.93, 0.93, -99., -99., -99., -99., 15.92, -99., -99., 3.1e+11, -99., -99., 26780, -99, -99, 9.68, 1., 1.84, -99., -99., -99., -99., -99., -99., 0.4858, 1.504e+11, 0., 1.2481, 2.2403, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
98183, 'GOODS-N', 189.3774145, 62.290226, -99., 2.12, -99., -99., 2.05, -99., -99., 1.96, 2.15, -99., -99., -99., -99., 3.45, -99., -99., 3.31e+11, -99., -99., 36613, -99, -99, 9.48, 1., 2.58, -99., -99., -99., -99., -99., -99., 0.5063, 1.677e+11, 0., 0.9549, 2.1032, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
132214, 'GOODS-S', 53.0816436, -27.688134, 1.327, 1.55, -99., -99., 1.53, -99., -99., 1.38, 2.02, -99., -99., -99., -99., 144.83, -99., -99., 4.85e+11, -99., -99., 37109, -99, -99, 9.6, 6.31, 2.58, -99., -99., -99., -99., -99., -99., 0.2526, 1.226e+11, 0., 0.6391, 1.9307, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
85256, 'GOODS-S', 53.1288245, -27.78042, 1.173, 1.22, -99., -99., 1.22, -99., -99., 1.07, 1.35, -99., -99., -99., -99., 88.22, -99., -99., 1.35e+11, -99., -99., 36743, -99, -99, 9.68, 1.58, 2.58, -99., -99., -99., -99., -99., -99., 0.4763, 6.416e+10, 0., 1.0589, 2.22, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
43618, 'GOODS-N', 189.1825663, 62.195238, -99., 0.74, -99., -99., 0.74, -99., -99., 0.73, 0.74, -99., -99., -99., -99., 46.22, -99., -99., 1.12e+11, -99., -99., 683, -99, -99, 9.16, -99., -91.16, -99., -99., -99., -99., -99., -99., 0.5406, 6.073e+10, 0., 1.2179, 2.0393, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
107263, 'GOODS-N', 189.3201245, 62.306652, -99., 0.91, -99., -99., 0.91, -99., -99., 0.91, 0.91, -99., -99., -99., -99., 632.08, -99., -99., 1.94e+11, -99., -99., 830, -99, -99, 9.74, -99., -91.16, -99., -99., -99., -99., -99., -99., 0.3749, 7.291e+10, 0., 1.3668, 2.6727, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
117725, 'GOODS-S', 53.0404348, -27.713365, 0.735, 0.71, -99., -99., 0.75, -99., -99., 0.7, 0.75, -99., -99., -99., -99., 187.17, -99., -99., 5.87e+11, -99., -99., 23097, -99, -99, 9.81, 0.01, 1.66, -99., -99., -99., -99., -99., -99., 0.4419, 2.594e+11, 0., 1.6063, 2.3725, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
57648, 'GOODS-S', 53.2113565, -27.835301, -99., 1.14, -99., -99., 1.14, -99., -99., 1.12, 1.15, -99., -99., -99., -99., 15.67, -99., -99., 1.36e+11, -99., -99., 829, -99, -99, 9.72, -99., -91.16, -99., -99., -99., -99., -99., -99., 0.3778, 5.134e+10, 0., 1.52, 2.7442, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
109725, 'GOODS-S', 53.0531945, -27.735521, 1.566, 1.9, -99., -99., 1.82, -99., -99., 1.41, 2.03, -99., -99., -99., -99., 9.32, -99., -99., 1.27e+11, -99., -99., 29234, -99, -99, 9.51, 1., 2.03, -99., -99., -99., -99., -99., -99., 0.505, 6.388e+10, 0., 0.9474, 2.0679, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
79786, 'GOODS-N', 189.26174, 62.256254, -99., 3.08, -99., -99., 3.05, -99., -99., 3.02, 3.15, -99., -99., -99., -99., 10.42, -99., -99., 1.13e+12, -99., -99., 34751, -99, -99, 9.01, 10., 2.39, -99., -99., -99., -99., -99., -99., 0.0613, 6.94e+10, 0., 0.2899, 1.5594, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
54600, 'GOODS-N', 189.1838805, 62.212462, -99., 1.51, -99., -99., 1.53, -99., -99., 1.51, 1.54, -99., -99., -99., -99., 9.98, -99., -99., 3.37e+11, -99., -99., 31572, -99, -99, 9.54, 0.631, 2.21, -99., -99., -99., -99., -99., -99., 0.5059, 1.707e+11, 0., 1.3075, 2.2786, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
121095, 'GOODS-S', 53.0792362, -27.711868, 1.019, 0.96, -99., -99., 0.97, -99., -99., 0.96, 0.98, -99., -99., -99., -99., 14.8, -99., -99., 7.14e+10, -99., -99., 2055, -99, -99, 9.63, 0.631, 0., -99., -99., -99., -99., -99., -99., 0.4906, 3.502e+10, 0., 1.1664, 2.0121, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
89312, 'GOODS-N', 189.3186302, 62.274943, -99., 1.18, -99., -99., nan, -99., -99., 1.18, 1.18, -99., -99., -99., -99., 3995.75, -99., -99., 7.12e+10, -99., -99., 435, -99, -99, 9.06, -99., -91.16, -99., -99., -99., -99., -99., -99., 0.5354, 3.811e+10, 0., 0.3401, 0.9801, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
97879, 'GOODS-N', 189.3980533, 62.301465, 0.84, 0.86, -99., -99., 0.83, -99., -99., 0.83, 0.86, -99., -99., -99., -99., 151.06, -99., -99., 6.42e+11, -99., -99., 36749, -99, -99, 9.8, 1.58, 2.58, -99., -99., -99., -99., -99., -99., 0.4656, 2.987e+11, 0., 1.2836, 2.3477, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
121057, 'GOODS-S', 53.0509217, -27.713738, -99., 2.42, -99., -99., 2.35, -99., -99., 2.1, 2.56, -99., -99., -99., -99., 8.27, -99., -99., 1.81e+11, -99., -99., 36857, -99, -99, 9.41, 2.51, 2.58, -99., -99., -99., -99., -99., -99., 0.3631, 6.565e+10, 0., 0.6158, 1.8684, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
120836, 'GOODS-S', 53.036825, -27.713841, -99., 2.43, -99., -99., 2.4, -99., -99., 2.41, 2.46, -99., -99., -99., -99., 11.6, -99., -99., 2.79e+12, -99., -99., 22952, -99, -99, 9.3, 63.1, 1.47, -99., -99., -99., -99., -99., -99., 0.0185, 5.142e+10, 0., 0.28, 1.5401, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
114563, 'GOODS-S', 53.0696163, -27.723368, -99., 1.5, -99., -99., nan, -99., -99., 1.5, 1.5, -99., -99., -99., -99., 293861.02, -99., -99., 5.86e+11, -99., -99., 434, -99, -99, 9.01, -99., -91.16, -99., -99., -99., -99., -99., -99., 0.5441, 3.188e+11, 0., 0.2823, 0.9098, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
